10000 13648
20000 18000
30000 21312
40000 28176
50000 32864
60000 37600
70000 54240
80000 58320
90000 62432
100000 66512
110000 70624
120000 74720
130000 78800
140000 107504
150000 104832
160000 109568
170000 115680
180000 119776
190000 123856
200000 124368
220000 136144
250000 152048
300000 188208
350000 219984
400000 254960
