10000 0.01
20000 0.04
30000 0.08
40000 0.12
50000 0.16
60000 0.28
70000 0.41
80000 0.50
90000 0.68
100000 0.81
110000 1.01
120000 1.21
130000 1.23
140000 1.82
150000 2.12
160000 2.44
170000 2.77
180000 3.32
190000 3.78
200000 4.33
220000 5.43
